phase_mm,front_left_extension_mm,front_right_extension_mm,rear_left_extension_mm,rear_right_extension_mm
64.262000,117.236364,117.236364,0.000000,0.000000
64.541400,117.236364,117.236364,0.000000,0.000000
64.820800,117.236364,117.236364,0.000000,0.000000
65.100200,117.236364,117.236364,0.000000,0.000000
65.379600,117.236364,117.236364,0.000000,0.000000
65.659000,117.236364,117.236364,0.000000,0.000000
65.938400,117.236364,117.236364,0.000000,0.000000
66.217800,117.236364,117.236364,0.000000,0.000000
66.497200,117.236364,117.236364,0.000000,0.000000
66.776600,117.236364,117.236364,0.000000,0.000000
67.056000,117.236364,117.236364,0.000000,0.000000
67.335400,117.236364,117.236364,0.000000,0.000000
67.614800,117.236364,117.236364,0.000000,0.000000
67.894200,117.236364,117.236364,0.000000,0.000000
68.173600,117.236364,117.236364,0.000000,0.000000
68.453000,117.236364,117.236364,0.000000,0.000000
68.732400,117.236364,117.236364,0.000000,0.000000
69.011800,117.236364,117.236364,0.000000,0.000000
69.291200,117.236364,117.236364,0.000000,0.000000
69.570600,117.236364,117.236364,0.000000,0.000000
69.850000,117.236364,117.236364,0.000000,0.000000
70.129400,117.236364,117.236364,0.000000,0.000000
70.408800,117.236364,117.236364,0.000000,0.000000
70.688200,117.236364,117.236364,0.000000,0.000000
70.967600,117.236364,117.236364,0.000000,0.000000
71.247000,117.236364,117.236364,0.000000,0.000000
71.526400,117.236364,117.236364,0.000000,0.000000
71.805800,117.236364,117.236364,0.000000,0.000000
72.085200,117.236364,117.236364,0.000000,0.000000
72.364600,117.236364,117.236364,0.000000,0.000000
72.644000,117.236364,117.236364,0.000000,0.000000
72.923400,117.236364,117.236364,0.000000,0.000000
73.202800,117.236364,117.236364,0.000000,0.000000
73.482200,117.236364,117.236364,0.000000,0.000000
73.761600,117.236364,117.236364,0.000000,0.000000
74.041000,117.236364,117.236364,0.000000,0.000000
74.320400,117.236364,117.236364,0.000000,0.000000
74.599800,117.236364,117.236364,0.000000,0.000000
74.879200,117.236364,117.236364,0.000000,0.000000
75.158600,117.236364,117.236364,0.000000,0.000000
75.438000,117.236364,117.236364,0.000000,0.000000
75.717400,117.236364,117.236364,0.000000,0.000000
75.996800,117.236364,117.236364,0.000000,0.000000
76.276200,117.236364,117.236364,0.000000,0.000000
76.555600,117.236364,117.236364,0.000000,0.000000
76.835000,117.236364,117.236364,0.000000,0.000000
77.114400,117.236364,117.236364,0.000000,0.000000
77.393800,117.236364,117.236364,0.000000,0.000000
77.673200,117.236364,117.236364,0.000000,0.000000
77.952600,117.236364,117.236364,0.000000,0.000000
78.232000,117.236364,117.236364,0.000000,0.000000
78.511400,117.236364,117.236364,0.000000,0.000000
78.790800,117.236364,117.236364,0.000000,0.000000
79.070200,117.236364,117.236364,0.000000,0.000000
79.349600,117.236364,117.236364,0.000000,0.000000
79.629000,117.236364,117.236364,0.000000,0.000000
79.908400,117.236364,117.236364,0.000000,0.000000
80.187800,117.236364,117.236364,0.000000,0.000000
80.467200,117.236364,117.236364,0.000000,0.000000
80.746600,117.236364,117.236364,0.000000,0.000000
81.026000,117.236364,117.236364,0.000000,0.000000
81.305400,117.236364,117.236364,0.000000,0.000000
81.584800,117.236364,117.236364,0.000000,0.000000
81.864200,117.236364,117.236364,0.000000,0.000000
82.143600,117.236364,117.236364,0.000000,0.000000
82.423000,117.236364,117.236364,0.000000,0.000000
82.702400,117.236364,117.236364,0.000000,0.000000
82.981800,117.236364,117.236364,0.000000,0.000000
83.261200,117.236364,117.236364,0.000000,0.000000
83.540600,117.236364,117.236364,0.000000,0.000000
83.820000,117.236364,117.236364,0.000000,0.000000
84.099400,117.236364,117.236364,0.000000,0.000000
84.378800,117.236364,117.236364,0.000000,0.000000
84.658200,117.236364,117.236364,0.000000,0.000000
84.937600,117.236364,117.236364,0.000000,0.000000
85.217000,117.236364,117.236364,0.000000,0.000000
85.496400,117.236364,117.236364,0.000000,0.000000
85.775800,117.236364,117.236364,0.000000,0.000000
86.055200,117.236364,117.236364,0.000000,0.000000
86.334600,117.236364,117.236364,0.000000,0.000000
86.614000,117.236364,117.236364,0.000000,0.000000
86.893400,117.236364,117.236364,0.000000,0.000000
87.172800,117.236364,117.236364,0.000000,0.000000
87.452200,117.236364,117.236364,0.000000,0.000000
87.731600,117.236364,117.236364,0.000000,0.000000
88.011000,117.236364,117.236364,0.000000,0.000000
88.290400,117.236364,117.236364,0.000000,0.000000
88.569800,117.236364,117.236364,0.000000,0.000000
88.849200,117.236364,117.236364,0.000000,0.000000
89.128600,117.236364,117.236364,0.000000,0.000000
89.408000,117.236364,117.236364,0.000000,0.000000
89.687400,117.236364,117.236364,0.000000,0.000000
89.966800,117.236364,117.236364,0.000000,0.000000
90.246200,117.236364,117.236364,0.000000,0.000000
90.525600,117.236364,117.236364,0.000000,0.000000
90.805000,117.236364,117.236364,0.000000,0.000000
91.084400,117.236364,117.236364,0.000000,0.000000
91.363800,117.236364,117.236364,0.000000,0.000000
91.643200,117.236364,117.236364,0.000000,0.000000
91.922600,117.236364,117.236364,0.000000,0.000000
92.202000,117.236364,117.236364,0.000000,0.000000
